brand,model,year,km_driven,owners,fuel_type,transmission,engine_cc,seats,price_lakhs
Maruti,Swift,2018,45000,1,Petrol,Manual,1197,5,5.5
Hyundai,i20,2019,30000,1,Diesel,Manual,1396,5,7.2
Toyota,Innova,2017,60000,2,Diesel,Manual,2393,7,12.5
Honda,City,2020,15000,1,Petrol,Automatic,1498,5,11.8
Tata,Nexon,2021,10000,1,Diesel,Manual,1497,5,9.5
Kia,Seltos,2020,25000,1,Petrol,Automatic,1497,5,13.2
Mahindra,Scorpio,2016,80000,2,Diesel,Manual,2179,7,8.9
Ford,EcoSport,2018,40000,1,Petrol,Manual,1497,5,6.8
Renault,Kwid,2019,35000,1,Petrol,Manual,799,5,3.2
Maruti,Baleno,2020,20000,1,Petrol,Manual,1197,5,6.8
Hyundai,Creta,2019,35000,1,Diesel,Manual,1493,5,11.5
Toyota,Fortuner,2018,50000,1,Diesel,Automatic,2755,7,25.5
Honda,Amaze,2019,30000,1,Petrol,Manual,1199,5,6.2
Tata,Harrier,2020,25000,1,Diesel,Manual,1956,7,15.8
Kia,Sonet,2021,12000,1,Petrol,Manual,1197,5,8.5
